City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,seneca falls,42.9106,-76.7966,5.12,78,79,1.34,US,1702947387
270,alaghsas,17.0187,8.0168,17.59,24,4,3.03,NE,1702947388
271,fenoarivo be,-18.4333,46.5667,20.82,89,100,1.46,MG,1702947388
272,tofol,5.3248,163.0078,30.88,66,75,7.2,FM,1702947388
273,yuzhno-kurilsk,44.0306,145.8556,-2.57,76,100,7.86,RU,1702947388
274,vilyuchinsk,52.9306,158.4028,-1.85,74,54,3.46,RU,1702947388
275,ingeniero guillermo n. juarez,-23.9,-61.85,26.19,81,100,5.27,AR,1702947388
276,ron,15.6667,75.7333,17.91,91,81,3.81,IN,1702947388
277,kaifeng,34.7911,114.3483,-7.13,92,34,2.32,CN,1702947388
278,gadzhiyevo,69.2551,33.3362,-9.06,85,5,6.04,RU,1702947388
279,kudahuvadhoo,2.6708,72.8944,28.07,74,20,1.44,MV,1702947388
280,monte patria,-30.6919,-70.9467,22.2,40,0,1.81,CL,1702947388
281,benguela,-12.5763,13.4055,25.96,88,100,2.09,AO,1702947388
282,nadi,-17.8,177.4167,30.0,74,40,5.66,FJ,1702947389
283,belokurikha,51.9959,84.9896,-15.77,68,46,3.15,RU,1702947389
284,crucecita,-28.95,-58.9833,23.49,88,100,4.92,AR,1702947389
285,coxim,-18.5067,-54.76,29.81,40,5,1.46,BR,1702947389
286,omutninsk,58.67,52.1932,-4.56,95,100,3.06,RU,1702947389
287,enterprise,36.0252,-115.2419,16.61,25,75,3.09,US,1702947389
288,ocean city,39.2776,-74.5746,7.22,67,1,4.92,US,1702947303
289,northam,51.0333,-4.2167,14.81,98,100,8.92,GB,1702947389
290,puerto baquerizo moreno,-0.9,-89.6,24.17,88,62,4.53,EC,1702947389
291,zhuanghe,39.7008,122.9911,-7.08,92,100,3.65,CN,1702947389
292,bor,56.3567,44.0669,0.0,93,100,3.83,RU,1702947389
293,siwa oasis,29.2041,25.5195,13.27,71,6,3.72,EG,1702947389
294,brezina,33.0989,1.2608,5.05,82,53,6.44,DZ,1702947389
295,mahanoro,-19.9,48.8,24.86,86,26,2.51,MG,1702947389
296,farasan,16.7022,42.1183,26.73,66,0,8.13,SA,1702947390
297,port douglas,-16.4833,145.4667,26.4,79,84,3.48,AU,1702947340
298,colonia,50.9333,6.95,5.36,79,100,3.09,DE,1702947390
299,hadibu,12.65,54.0333,24.46,79,61,6.29,YE,1702947390
300,miguel ahumada,30.6167,-106.5167,14.69,18,100,4.52,MX,1702947390
301,strzelno,52.6279,18.1725,7.7,100,100,7.08,PL,1702947233
302,lashkar gah,31.5938,64.3716,9.46,40,3,3.55,AF,1702947390
303,kenai,60.5544,-151.2583,-3.25,100,100,2.57,US,1702947390
304,bamboo flat,11.7,92.7167,28.05,78,40,3.6,IN,1702947390
305,baikonur,45.6167,63.3167,-5.39,83,26,3.8,KZ,1702947390
306,priob'ye,62.5206,65.5964,-12.97,93,100,6.8,RU,1702947390
307,karratha,-20.7377,116.8463,27.78,48,2,4.89,AU,1702947390
308,kingston,17.997,-76.7936,26.53,69,40,9.77,JM,1702946698
309,mar del plata,-38.0023,-57.5575,13.3,66,75,8.23,AR,1702947390
310,hauterive,46.0901,3.4459,-0.58,72,3,0.72,FR,1702947390
311,soio,-6.1349,12.3689,26.43,87,100,1.25,AO,1702947391
312,kirensk,57.7853,108.1119,-41.18,100,58,0.93,RU,1702947391
313,kayangel,8.0823,134.7173,28.48,74,19,7.64,PW,1702947391
314,carolina beach,34.0352,-77.8936,13.34,79,0,5.1,US,1702947391
315,tralee,52.2704,-9.7026,9.47,93,100,2.49,IE,1702947391
316,queenstown,-31.8976,26.8753,13.18,86,100,1.86,ZA,1702947391
317,la passe,45.5549,-0.8967,3.13,84,14,0.51,FR,1702947391
318,sour el ghozlane,36.1477,3.6912,6.94,95,100,3.02,DZ,1702947391
319,terrace,54.5163,-128.6035,0.95,74,100,12.35,CA,1702947391
320,bouar,5.934,15.596,21.41,29,100,2.19,CF,1702947391
321,severo-yeniseyskiy,60.3725,93.0408,-32.46,100,97,1.34,RU,1702947391
322,radhanpur,23.8333,71.6,16.61,46,69,3.67,IN,1702947391
323,saldanha,-33.0117,17.9442,15.03,80,5,8.1,ZA,1702947391
324,aleshtar,33.8633,48.2619,-1.98,56,100,1.03,IR,1702947391
325,madaoua,14.073,5.96,19.69,21,100,4.71,NE,1702947392
326,rio grande,-32.035,-52.0986,22.06,91,100,8.97,BR,1702947392
327,murray bridge,-35.1167,139.2667,17.85,49,0,9.66,AU,1702947392
328,callao,-12.0667,-77.15,24.29,78,0,5.14,PE,1702947392
329,merizo village,13.2658,144.6691,30.55,83,17,7.94,GU,1702947392
330,greymouth,-42.4667,171.2,17.2,55,92,3.49,NZ,1702947392
331,neiafu,-18.65,-173.9833,29.38,74,75,5.66,TO,1702947392
332,fale old settlement,-9.3852,-171.2468,28.8,75,100,1.12,TK,1702947392
333,iida,35.5197,137.8207,6.47,50,97,1.29,JP,1702947392
334,champerico,14.3,-91.9167,30.3,77,33,1.98,GT,1702947392
335,kamaishi,39.2667,141.8833,1.88,57,100,1.71,JP,1702947392
336,ha'il,27.5219,41.6907,6.01,56,0,2.06,SA,1702947392
337,kolonia,50.9333,6.95,5.36,79,100,3.09,DE,1702947393
338,saint-denis,48.9167,2.3333,4.34,93,100,4.63,FR,1702947393
339,oranjemund,-28.55,16.4333,15.21,91,8,5.2,NA,1702947393
340,rabaul,-4.1967,152.1721,28.09,76,100,1.13,PG,1702947393
341,papao,-17.75,-149.55,29.82,76,100,2.76,PF,1702947393
342,pointe aux piments,-20.0628,57.5131,26.96,90,97,3.08,MU,1702947393
343,hobyo,5.3505,48.5268,25.52,81,97,9.76,SO,1702947393
344,kismayo,-0.3582,42.5454,27.26,79,69,6.27,SO,1702947393
345,kavalerovo,44.2661,135.0572,-20.34,74,52,7.15,RU,1702947393
346,kapa'a,22.0752,-159.319,26.99,77,75,9.26,US,1702947393
347,tefenni,37.3097,29.7754,2.95,56,0,1.98,TR,1702947393
348,nikolayevsk-on-amure,53.1406,140.73,-23.18,88,21,2.4,RU,1702947393
349,vrangel',42.7297,133.0839,-10.99,39,100,3.53,RU,1702947393
350,san juan,-31.5375,-68.5364,16.9,46,0,8.1,AR,1702947393
351,seabra,-12.4186,-41.7703,20.39,85,100,1.67,BR,1702947136
352,fort st. john,56.2499,-120.8529,-3.06,80,75,2.06,CA,1702947394
353,dudinka,69.4058,86.1778,-12.43,83,100,13.41,RU,1702947394
354,quesnel,52.9999,-122.5029,0.28,100,100,1.03,CA,1702947394
355,golyshmanovo,56.3979,68.3728,-6.86,97,100,2.4,RU,1702947394
356,mbale,1.0821,34.175,19.67,72,24,1.57,UG,1702947394
357,tugulym,57.0591,64.6425,-9.82,97,71,2.42,RU,1702947394
358,riberalta,-10.9833,-66.1,28.4,61,100,1.4,BO,1702947394
359,lethem,3.3803,-59.7968,30.24,53,66,4.32,GY,1702947394
